,ლანჩხუთი,თბილისი,ოზურგეთი,ქუთაისი,blank,ხაშური,ჭიათურა,ადიგენი,ბოლნისი,საგარეჯო,ჩოხატაური,წყალტუბო,OCCUPIED,დმანისი,საჩხერე,ფოთი,ხელვაჩაური,ახალციხე,მარნეული,გურჯაანი,რუსთავი,გარდაბანი,თელავი,ნინოწმინდა,ახალქალაქი,ჩხოროწყუ,მცხეთა,ზუგდიდი,სამტრედია,ბაღდათი,მარტვილი,კასპი,ზესტაფონი,ამბროლაური,ვანი,ტყიბული,ყვარელი,გორი,ლაგოდეხი,თეთრიწყარო,ცაგერი,ხონი,წალკა,თიანეთი,დუშეთი,თერჯოლა,ქარელი,ცხინვალი,სიღნაღი,დედოფლისწყარო,სენაკი,ბორჯომი,ახმეტა,ლენტეხი,მესტია,ხობი,ასპინძა,ხარაგაული,ყაზბეგი,OCCUPIEDABKH,ახალგორი,წალენჯიხა,ონი
46,0.0,25.67,0.92,0.0,9.2,0.11,3.91,0.0,0.63,0.0,5.33,0.0,0.7,0.0,0.0,3.05,0.0,2.02,3.59,0.69,26.91,4.88,0.0,1.67,1.11,0.0,0.0,43.53,2.73,0.0,0.0,1.96,0.83,0.0,0.31,1.41,1.05,0.11,0.13,1.24,3.04,1.11,1.31,0.59,4.72,0.0,0.0,2.78,0.35,0.0,0.37,0.0,0.0,0.83,0.0,0.0,0.26,0.0,2.26,0.0,0.0,1.24,0.0
47,9.37,62.81,23.85,0.0,19.7,38.54,0.0,0.0,7.49,13.63,11.18,0.0,0.0,0.0,13.2,0.0,2.56,0.0,0.0,6.74,17.66,20.07,32.44,23.11,0.0,0.0,0.0,37.51,41.29,0.0,1.85,0.0,0.0,5.4,4.81,0.0,33.07,46.18,0.0,10.26,0.0,0.0,1.89,0.0,0.0,2.76,2.52,0.98,0.0,0.0,0.0,42.11,0.0,0.0,0.0,41.06,0.0,0.0,11.85,35.09,0.0,2.72,0.0
48,5.15,41.37,0.0,0.0,0.24,0.0,0.71,0.0,0.0,0.0,0.0,1.93,3.3,0.0,2.49,1.0,0.0,0.0,10.39,0.0,0.7,0.0,0.0,0.0,2.2,0.0,0.71,0.0,0.0,6.08,0.0,3.04,0.0,0.0,0.06,0.79,0.0,14.35,3.95,0.0,0.0,2.97,0.0,0.0,0.0,1.64,0.0,0.0,1.35,38.87,0.0,0.0,0.0,4.38,0.0,1.05,8.36,0.0,0.27,0.3,0.35,0.23,0.0
49,8.18,33.31,12.64,0.0,1.68,0.65,0.73,0.0,1.18,0.0,0.5,1.57,0.5,4.48,0.0,0.0,0.0,0.67,2.33,1.68,2.52,5.17,0.0,0.0,5.79,2.99,5.15,0.0,0.0,0.0,7.16,5.58,0.0,4.13,0.0,3.73,0.0,53.79,0.0,0.0,0.0,0.0,0.0,1.78,0.0,1.83,1.8,2.57,0.0,2.77,8.6,0.0,6.4,0.0,0.0,2.54,4.01,4.41,0.0,6.41,5.13,2.83,3.99
50,0.0,23.57,0.75,6.62,0.0,0.0,1.95,1.23,0.0,0.0,3.69,0.0,1.66,0.0,1.9,0.0,0.9,0.0,0.26,1.1,1.47,0.0,47.61,2.56,2.83,1.5,0.0,0.0,11.68,0.0,0.0,0.0,1.01,0.0,0.0,1.28,0.21,0.0,0.0,0.0,3.91,2.09,0.0,1.38,0.99,0.13,0.0,4.94,0.0,0.05,2.99,3.52,0.0,0.9,0.0,2.71,0.22,2.02,1.72,4.83,0.0,0.55,0.0
51,5.31,30.51,0.0,0.0,3.69,0.0,6.13,0.0,0.0,0.89,2.13,3.99,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,3.83,0.0,0.0,2.74,8.87,0.0,1.08,0.0,0.0,0.0,0.0,2.7,0.37,3.96,0.14,0.0,1.15,0.0,0.0,9.94,4.96,0.0,0.0,0.0,1.12,55.17,1.47,0.0,0.68,1.29,0.0,17.69,0.0,0.28,0.0,0.74,0.0,0.0,0.0,0.06,3.89,2.01
52,0.0,11.84,4.63,0.0,0.68,18.0,4.05,2.74,0.0,0.44,2.24,0.0,1.7,0.0,2.1,1.25,0.24,0.07,18.04,8.48,0.0,5.92,0.0,2.66,4.04,0.0,0.0,3.51,0.0,3.0,5.05,6.42,0.0,1.59,16.3,0.0,1.02,0.88,0.22,0.0,0.23,0.0,0.0,5.39,32.84,9.07,5.08,0.0,5.37,3.7,1.19,0.0,0.28,4.25,0.0,1.24,0.0,0.85,0.0,0.0,1.33,3.44,0.0
53,0.0,0.0,0.0,24.06,0.0,39.32,0.0,0.0,0.0,0.0,2.01,0.0,2.91,0.0,24.48,3.13,3.76,3.29,14.49,0.0,1.44,7.12,0.0,8.25,3.55,16.83,1.24,15.26,0.0,0.0,0.0,0.0,0.0,0.0,9.4,11.67,5.43,0.0,0.0,3.84,16.84,9.02,26.48,0.0,0.0,28.46,0.0,3.37,46.08,0.0,8.71,35.94,11.44,0.0,4.87,0.0,0.0,14.21,16.72,4.15,0.63,2.37,1.1
54,0.0,42.65,8.34,0.52,0.0,19.46,8.56,2.93,0.0,17.49,24.88,0.0,0.0,0.0,0.0,0.0,7.49,7.74,0.0,0.0,10.81,10.82,5.7,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,7.24,0.04,13.25,0.0,28.41,7.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,0.0,1.6,14.7,12.82,46.72,13.35,19.76,0.0,17.09,0.0,23.66,0.0,0.07,0.0,0.0,0.0,0.0
55,0.0,24.26,4.79,17.39,0.84,1.5,1.38,0.0,0.0,0.78,15.58,10.27,0.0,0.0,2.14,1.86,0.0,0.0,0.0,0.48,5.02,4.57,0.0,5.9,0.0,5.76,0.0,0.0,1.72,1.15,0.08,10.91,1.72,0.0,5.71,2.57,0.0,2.77,0.0,0.0,3.46,38.22,3.35,0.99,0.0,0.0,3.28,0.0,1.25,0.11,0.64,0.46,1.37,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.78,5.04
56,0.0,23.17,8.42,0.0,0.0,0.0,12.59,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,13.66,5.79,0.0,1.26,0.0,1.15,0.0,18.33,5.65,0.76,12.19,0.0,0.54,3.26,13.42,3.05,4.94,15.1,13.23,0.0,0.0,13.51,0.0,16.87,0.0,0.0,6.97,2.02,0.5,0.0,2.51,6.2,0.0,0.0,2.15,8.93,55.4,0.0,4.4,4.54,8.81,6.82,0.0,0.0,2.67,0.0,0.0,2.6
57,0.0,25.22,0.0,10.64,0.21,0.4,0.0,0.0,4.42,0.0,0.0,6.75,0.0,0.48,1.55,3.77,3.03,0.0,0.0,0.15,5.93,0.0,1.86,1.82,0.86,0.0,0.0,2.94,0.0,0.0,20.19,0.19,0.0,16.54,0.39,0.0,0.25,0.0,11.36,0.0,4.24,0.0,1.07,0.0,0.0,2.17,0.0,2.83,0.0,0.0,0.0,1.08,0.0,1.57,3.81,0.0,1.97,0.0,1.87,24.53,0.0,5.62,2.01
58,12.18,77.61,0.0,0.0,17.09,55.23,1.87,48.1,0.0,35.21,0.0,4.77,0.0,0.0,2.43,15.32,7.61,4.93,0.0,0.0,0.0,4.93,0.0,14.31,10.1,14.5,0.0,1.18,18.59,0.0,0.0,49.77,2.19,10.48,0.0,3.48,2.98,0.0,0.0,0.29,0.0,4.9,16.1,0.0,0.0,0.0,0.36,25.83,2.56,0.0,0.0,8.83,0.0,12.0,23.21,16.44,0.87,7.11,19.99,7.74,0.0,5.89,24.79
59,10.25,66.78,13.42,0.0,0.0,11.07,15.54,0.0,5.73,22.73,45.22,0.0,0.0,0.0,66.01,0.0,0.0,0.0,0.0,68.86,13.63,13.25,0.0,0.0,9.69,4.89,0.0,22.62,0.0,8.67,18.37,0.0,11.88,22.72,0.0,0.0,1.95,4.54,63.59,1.76,7.54,0.0,0.0,32.58,0.0,0.0,25.97,0.0,10.51,5.65,0.0,0.0,0.0,41.02,0.0,0.0,0.0,13.22,0.0,13.53,0.0,68.95,11.32
60,0.0,33.93,0.29,0.0,33.64,0.0,76.97,0.0,3.67,33.32,0.0,6.86,15.61,0.0,82.71,0.0,7.49,0.0,18.9,0.0,0.0,13.1,0.42,0.0,0.0,126.34,0.0,0.0,0.0,0.0,0.0,3.46,2.86,0.0,21.21,0.0,37.85,21.56,0.0,9.56,27.42,14.86,3.49,37.19,0.0,15.3,0.0,24.68,0.0,17.54,3.64,27.55,34.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.41,0.25,36.06
61,0.0,37.25,0.0,0.0,26.09,1.27,2.26,8.48,23.48,0.0,54.78,0.0,7.01,0.0,6.03,23.36,4.71,0.0,0.0,0.0,27.29,16.18,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.78,21.67,1.72,16.49,0.0,0.0,3.5,8.89,0.0,0.0,0.0,0.0,5.57,0.0,10.68,3.33,0.0,0.0,0.0,4.26,3.8,2.92,0.0,5.48,0.0,0.0,0.0,20.91,0.0,0.0,0.86,0.0,36.06,15.72
62,0.0,15.99,0.0,10.5,0.0,33.69,5.57,0.0,20.67,0.0,19.86,0.0,1.21,15.11,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,14.17,12.99,86.63,0.0,4.01,0.0,0.0,4.67,21.88,3.54,0.0,6.75,0.0,0.0,4.76,0.0,0.0,0.0,5.39,5.54,4.41,0.0,0.0,0.0,13.96,16.32,0.0,0.0,0.0,0.0,1.52,8.63,6.93,35.05,0.0,0.0,27.83,15.9,0.0
