,ლანჩხუთი,თბილისი,ოზურგეთი,ქუთაისი,blank,ხაშური,ჭიათურა,ადიგენი,ბოლნისი,საგარეჯო,ჩოხატაური,წყალტუბო,OCCUPIED,დმანისი,საჩხერე,ფოთი,ხელვაჩაური,ახალციხე,მარნეული,გურჯაანი,რუსთავი,გარდაბანი,თელავი,ნინოწმინდა,ახალქალაქი,ჩხოროწყუ,მცხეთა,ზუგდიდი,სამტრედია,ბაღდათი,მარტვილი,კასპი,ზესტაფონი,ამბროლაური,ვანი,ტყიბული,ყვარელი,გორი,ლაგოდეხი,თეთრიწყარო,ცაგერი,ხონი,წალკა,თიანეთი,დუშეთი,თერჯოლა,ქარელი,ცხინვალი,სიღნაღი,დედოფლისწყარო,სენაკი,ბორჯომი,ახმეტა,ლენტეხი,მესტია,ხობი,ასპინძა,ხარაგაული,ყაზბეგი,OCCUPIEDABKH,ახალგორი,წალენჯიხა,ონი
10,0.0,18.14,4.48,4.58,0.0,5.08,0.55,2.65,58.77,0.0,0.0,4.26,0.59,8.72,0.74,2.63,0.46,2.59,0.0,1.38,0.0,0.0,0.0,0.0,10.97,0.0,0.0,0.0,0.0,0.0,3.85,0.0,9.1,2.09,0.0,0.0,0.0,2.0,2.89,0.37,1.27,2.78,12.01,2.03,1.27,2.94,0.0,6.35,0.0,0.0,2.81,0.15,0.0,1.93,1.83,1.05,0.0,9.37,0.0,0.0,0.0,0.0,1.61
11,0.0,13.48,0.99,50.58,0.0,5.75,7.91,0.0,0.0,29.27,0.0,2.6,0.0,0.0,0.0,0.23,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.87,2.27,0.0,5.74,0.0,4.24,1.38,0.0,0.98,0.51,0.94,0.0,3.17,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.76,0.16,2.08,5.1,2.89,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.14,5.52,0.0,0.0,2.84,0.0
12,1.16,63.27,2.42,4.88,0.77,0.0,0.0,0.0,1.3,1.06,12.79,3.56,0.55,0.0,0.17,0.0,0.0,0.57,0.49,0.4,0.54,0.0,1.16,0.0,0.0,0.39,0.33,0.0,0.0,0.0,0.0,0.24,0.0,0.35,0.16,0.2,0.0,0.0,0.0,0.0,0.75,1.46,0.0,0.41,0.34,0.0,0.78,0.5,0.0,0.18,0.0,0.04,0.0,0.31,0.64,0.42,0.24,0.4,0.16,0.8,0.09,0.79,0.0
13,0.0,52.07,0.0,0.0,0.0,0.0,6.39,27.51,7.16,0.0,3.58,4.81,0.0,0.0,11.1,13.15,5.6,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98,0.0,0.0,0.0,0.63,5.55,5.55,0.0,0.0,0.0,7.77,4.19,7.02,0.26,4.09,0.0,0.0,0.0,4.69,11.64,0.0,1.55,0.0,24.72,0.0,14.47,0.0,0.89,0.0,17.09,1.52,0.36,7.01,2.54,0.7,0.0,10.17,0.0
14,1.0,22.26,0.0,1.98,1.15,72.43,0.0,1.03,1.55,0.0,0.56,3.57,0.0,0.92,0.0,0.67,0.0,0.07,0.0,0.0,1.31,0.0,0.0,0.0,0.31,0.16,0.0,0.0,0.0,1.0,0.0,0.0,1.13,0.0,1.56,0.0,0.0,0.03,0.0,3.33,0.0,0.78,0.3,0.64,1.21,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.47,0.0,2.23,0.0,0.0,0.0,0.0,4.61,0.0,0.19,2.12
15,2.06,14.28,3.93,3.58,2.1,0.0,0.0,0.0,0.0,0.0,7.32,61.58,2.28,0.0,0.0,6.54,0.0,1.75,4.37,0.0,0.0,1.77,2.14,0.0,0.0,0.0,4.92,0.41,0.0,0.69,0.0,1.87,0.0,0.0,0.0,0.0,1.51,0.0,1.47,0.0,0.13,2.71,0.82,0.0,0.33,5.92,2.33,0.0,1.01,0.12,0.0,6.36,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.47,0.0,1.83,1.32
16,2.09,4.65,69.29,0.74,0.12,0.02,0.0,0.14,0.0,0.12,0.0,0.0,9.37,0.17,0.14,0.0,1.1,0.0,0.0,0.0,0.22,0.0,0.0,3.29,0.0,0.0,1.19,0.25,0.0,0.0,0.0,0.0,0.37,0.14,0.0,0.0,0.0,0.0,4.02,0.0,0.05,0.09,0.0,0.06,0.33,0.01,0.0,0.0,0.0,0.02,0.0,0.0,3.25,0.01,0.04,0.0,0.24,0.04,0.0,0.34,0.05,0.0,0.18
17,0.78,30.96,1.16,0.0,0.0,2.62,47.68,0.0,0.0,0.0,5.3,0.87,1.46,0.0,2.5,0.0,0.34,0.0,4.02,1.82,2.24,1.57,1.58,0.0,0.13,0.46,0.0,0.0,1.32,0.0,0.0,0.0,7.71,0.0,0.0,0.0,0.85,0.0,2.08,0.0,0.0,0.0,0.52,0.0,0.83,0.0,4.34,0.79,0.0,0.0,3.27,0.71,0.0,0.0,4.49,0.0,0.0,0.0,1.55,0.0,0.0,2.23,0.0
18,0.0,21.98,0.05,0.0,0.41,5.43,2.1,0.0,0.0,2.83,0.0,0.0,1.13,1.69,70.01,3.21,3.44,4.48,0.0,0.0,1.27,0.53,1.32,0.0,5.82,0.88,0.0,1.71,0.0,3.16,0.0,0.0,0.9,6.65,0.0,0.0,0.0,0.0,1.07,0.36,6.13,0.0,0.4,0.0,0.0,0.0,4.18,0.0,0.0,2.27,0.0,0.0,0.92,0.0,0.41,3.34,0.0,2.85,0.0,0.0,1.52,1.47,5.16
19,0.0,28.15,0.29,2.36,1.68,0.02,0.5,1.96,0.0,0.0,0.0,0.61,0.0,0.0,0.0,4.95,0.0,0.05,6.09,0.02,1.47,0.0,0.25,1.15,51.48,0.0,0.0,0.0,0.0,0.18,0.0,3.4,0.0,0.0,0.84,0.76,0.21,0.0,2.05,1.52,0.05,0.06,2.23,0.0,0.0,0.0,0.0,0.0,2.72,2.35,0.18,0.0,0.06,1.69,1.33,0.3,0.0,0.82,0.0,0.05,1.86,0.63,0.19
